Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Oct 4 2014,6,Louisiana-Monroe,14,Arkansas State,28,
Oct 4 2014,6,Ball State,24,Army,33,
Oct 4 2014,6,Louisiana State,7,Auburn,41,
Oct 4 2014,6,Baylor,28,Texas,7,
Oct 4 2014,6,Boise State,51,Nevada,46,
Oct 4 2014,6,Buffalo,35,Bowling Green State,36,
Oct 4 2014,6,California,60,Washington State,59,
Oct 4 2014,6,Ohio,10,Central Michigan,28,
Oct 4 2014,6,North Carolina State,0,Clemson,41,
Oct 4 2014,6,Tulsa,17,Colorado State,42,
Oct 4 2014,6,Southern Methodist,24,East Carolina,45,
Oct 4 2014,6,Florida,10,Tennessee,9,
Oct 4 2014,6,Wake Forest,3,Florida State,43,
Oct 4 2014,6,Vanderbilt,17,Georgia,44,
Oct 4 2014,6,Georgia Southern,36,New Mexico State,28,
Oct 4 2014,6,Miami (FL),17,Georgia Tech,28,
Oct 4 2014,6,North Texas,24,Indiana,49,
Oct 4 2014,6,Texas Tech,13,Kansas State,45,
Oct 4 2014,6,South Carolina,38,Kentucky,45,
Oct 4 2014,6,Texas-El Paso,3,Louisiana Tech,55,
Oct 4 2014,6,Georgia State,31,Louisiana-Lafayette,34,
Oct 4 2014,6,Marshall,56,Old Dominion,14,
Oct 4 2014,6,Memphis,41,Cincinnati,14,
Oct 4 2014,6,Massachusetts,41,Miami (OH),42,
Oct 4 2014,6,Nebraska,22,Michigan State,27,
Oct 4 2014,6,Southern Mississippi,31,Middle Tennessee State,37,
Oct 4 2014,6,Alabama,17,Mississippi,23,
Oct 4 2014,6,Texas A&amp;M,31,Mississippi State,48,
Oct 4 2014,6,New Mexico,21,Texas-San Antonio,9,
Oct 4 2014,6,Kent State,14,Northern Illinois,17,
Oct 4 2014,6,Wisconsin,14,Northwestern,20,
Oct 4 2014,6,Stanford,14,Notre Dame,17,
Oct 4 2014,6,Ohio State,52,Maryland,24,
Oct 4 2014,6,Iowa State,20,Oklahoma State,37,
Oct 4 2014,6,Oregon State,36,Colorado,31,
Oct 4 2014,6,Purdue,38,Illinois,27,
Oct 4 2014,6,Hawaii,14,Rice,28,
Oct 4 2014,6,Michigan,24,Rutgers,26,
Oct 4 2014,6,Nevada-Las Vegas,10,San Jose State,33,
Oct 4 2014,6,South Alabama,47,Appalachian State,21,
Oct 4 2014,6,Oklahoma,33,Texas Christian,37,
Oct 4 2014,6,Idaho,30,Texas State,35,
Oct 4 2014,6,Toledo,20,Western Michigan,19,
Oct 4 2014,6,Utah,30,UCLA,28,
Oct 4 2014,6,Pittsburgh,19,Virginia,24,
Oct 4 2014,6,Virginia Tech,34,North Carolina,17,
Oct 4 2014,6,Kansas,14,West Virginia,33,
Oct 9 2014,7,Brigham Young,24,Central Florida,31,
Oct 10 2014,7,Fresno State,27,Nevada-Las Vegas,30,
Oct 10 2014,7,San Diego State,24,New Mexico,14,
Oct 10 2014,7,Washington State,17,Stanford,34,
Oct 11 2014,7,Miami (OH),19,Akron,29,
Oct 11 2014,7,Alabama,14,Arkansas,13,
Oct 11 2014,7,North Texas,21,Alabama-Birmingham,56,
Oct 11 2014,7,Arkansas State,52,Georgia State,10,
Oct 11 2014,7,Texas Christian,58,Baylor,61,
Oct 11 2014,7,Boston College,30,North Carolina State,14,
Oct 11 2014,7,Bowling Green State,31,Ohio,13,
Oct 11 2014,7,Central Michigan,34,Northern Illinois,17,
Oct 11 2014,7,Louisville,17,Clemson,23,
Oct 11 2014,7,Colorado State,31,Nevada,24,
Oct 11 2014,7,Duke,31,Georgia Tech,25,
Oct 11 2014,7,East Carolina,28,South Florida,17,
Oct 11 2014,7,Buffalo,27,Eastern Michigan,37,
